#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:2026-06-07_L_samples_PoW" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:2026-06-07_L_samples_PoW" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.2026-06-07_L_samples_PoW" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:2026-06-07_L_samples_PoW" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:2026-06-07_L_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:2026-06-07_L_samples_PoW" name="distribution">
#            <parameter id="kappa.s:2026-06-07_L_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:2026-06-07_L_samples_PoW" name="distribution" x="@popSize.t:2026-06-07_L_samples_PoW">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2026-06-07_L_samples_PoW" id="treeLikelihood.2026-06-07_L_samples_PoW" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2026-06-07_L_samples_PoW">
#            <siteModel id="SiteModel.s:2026-06-07_L_samples_PoW" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2026-06-07_L_samples_PoW" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:2026-06-07_L_samples_PoW" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2026-06-07_L_samples_PoW" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:2026-06-07_L_samples_PoW" kappa="@kappa.s:2026-06-07_L_samples_PoW" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:2026-06-07_L_samples_PoW" id="estimatedFreqs.s:2026-06-07_L_samples_PoW" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:2026-06-07_L_samples_PoW" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:2026-06-07_L_samples_PoW" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-82910.43907652587	-82819.56205511613	-90.87702140974478	-82819.56205511613	2.0636464163081154	2.0	0.3	-90.21563418009644	0.25	0.25	0.25	0.25
2000	-25497.711570599524	-25569.18177972666	71.47020912713467	-25569.18177972666	0.03795881921297798	22.11437850228468	0.09343525207300182	74.74416764141203	0.25506917774053217	0.24454765218306565	0.24493082225946786	0.2554523478169344
4000	-17489.422076879553	-17612.415329373714	122.99325249416127	-17612.415329373714	0.03232725637342625	22.11437850228468	0.03667216990209641	125.3319604573258	0.25506917774053217	0.24454765218306565	0.24493082225946786	0.2554523478169344
6000	-17005.19625723439	-17139.131289512276	133.93503227788284	-17139.131289512276	0.0318770424991643	22.11437850228468	0.020201908457844444	135.67749916500168	0.2621366580727297	0.23713218105608455	0.23786334192727035	0.2628678189439155
8000	-16948.34180375563	-17088.117417540412	139.77561378478373	-17088.117417540412	0.03247267746926337	22.11437850228468	0.024843235578980223	141.7248890992324	0.2621366580727297	0.23831006500305799	0.23587231813492038	0.263680958789292
10000	-16931.39565295979	-17072.35092979064	140.9552768308479	-17072.35092979064	0.03241254603424049	22.11437850228468	0.01975454748973124	142.6753503573989	0.2621366580727297	0.23831006500305799	0.23587231813492038	0.263680958789292
12000	-16910.566157630812	-17052.86179742612	142.2956397953098	-17052.86179742612	0.03232181260613647	22.11437850228468	0.019729975313011624	144.0144686731657	0.2621366580727297	0.23831006500305799	0.23192637617672557	0.2676269007474868
14000	-16888.875648889345	-17027.40226480363	138.52661591428327	-17027.40226480363	0.03273059467162583	26.16934057358675	0.026903801292137063	140.95887439733508	0.2661597109409491	0.2333405923235805	0.23287279598798366	0.2676269007474868
16000	-16871.159947213226	-17012.243718854374	141.08377164114805	-17012.243718854374	0.03267869223197271	23.633192274255755	0.023126527772307073	143.11839158920867	0.27304358067471585	0.2333405923235805	0.2259889262542169	0.2676269007474868
18000	-16867.994443347892	-17008.918525190526	140.92408184263397	-17008.918525190526	0.03438251050858249	23.633192274255755	0.016419769449404494	142.61620750673438	0.2772256232948773	0.2333405923235805	0.2259889262542169	0.2634448581273253
20000	-16868.246981990975	-17006.054434108642	137.80745211766592	-17006.054434108642	0.035607350951590906	23.633192274255755	0.01989395749931595	139.69150776105184	0.2772256232948773	0.2333405923235805	0.22186318689164697	0.26757059748989526
22000	-16822.888228587337	-16961.061974438366	138.17374585103036	-16961.061974438366	0.033082470674355866	23.633192274255755	0.028585098851697164	140.42027101492198	0.290987578591547	0.2283459531201899	0.2081012315949773	0.27256523669328586
24000	-16803.47360338701	-16943.60667292886	140.1330695418517	-16943.60667292886	0.0325785636317215	23.633192274255755	0.015914716042910004	141.79395336133717	0.2945050945404639	0.224828437171273	0.19998900750279258	0.28067746078547057
26000	-16779.36618655661	-16920.937028672382	141.57084211577302	-16920.937028672382	0.03232713648643959	20.967103959951647	0.021620895854575807	143.25735639153763	0.30395812995577165	0.21537540175596526	0.19998900750279258	0.28067746078547057
28000	-16787.124811417078	-16929.39986629149	142.27505487441152	-16929.39986629149	0.031791360389136374	20.967103959951647	0.01692912538473255	143.71694443657492	0.3046900130299124	0.21537540175596526	0.19925712442865187	0.28067746078547057
30000	-16763.242913209102	-16905.419858660433	142.1769454513321	-16905.419858660433	0.03409526816314809	20.967103959951647	0.018858759799932786	143.72677699618336	0.30328908588154435	0.20914184403194908	0.19925712442865187	0.2883119456578548
32000	-16769.822978365915	-16906.50704037703	136.68406201111551	-16906.50704037703	0.034007447733334674	20.967103959951647	0.027941224599306976	138.62701922162412	0.2991646045791354	0.20914184403194908	0.20338160573106082	0.2883119456578548
