#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:2026-06-07_S_samples_PoW" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:2026-06-07_S_samples_PoW" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:2026-06-07_S_samples_PoW" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:2026-06-07_S_samples_PoW" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:2026-06-07_S_samples_PoW" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.2026-06-07_S_samples_PoW" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:2026-06-07_S_samples_PoW" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:2026-06-07_S_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:2026-06-07_S_samples_PoW" name="distribution">
#            <parameter id="kappa.s:2026-06-07_S_samples_PoW" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:2026-06-07_S_samples_PoW" name="distribution" x="@popSize.t:2026-06-07_S_samples_PoW">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2026-06-07_S_samples_PoW" id="treeLikelihood.2026-06-07_S_samples_PoW" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2026-06-07_S_samples_PoW">
#            <siteModel id="SiteModel.s:2026-06-07_S_samples_PoW" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2026-06-07_S_samples_PoW" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:2026-06-07_S_samples_PoW" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2026-06-07_S_samples_PoW" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:2026-06-07_S_samples_PoW" kappa="@kappa.s:2026-06-07_S_samples_PoW" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:2026-06-07_S_samples_PoW" id="estimatedFreqs.s:2026-06-07_S_samples_PoW" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:2026-06-07_S_samples_PoW" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:2026-06-07_S_samples_PoW" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-21358.66823098735	-21134.373123921745	-224.29510706560612	-21134.373123921745	2.0623535338186274	2.0	0.3	-223.63371983595775	0.25	0.25	0.25	0.25
2000	-8519.356071083568	-8540.097831314766	20.74176023119708	-8540.097831314766	0.06046152757683455	2.551302097174474	0.29574213268593785	21.60346489597217	0.26986453354280354	0.2386379296646541	0.24149753679254232	0.25
4000	-6094.7986850789885	-6151.160557139642	56.36187206065339	-6151.160557139642	0.030600659974077033	4.732486245689488	0.14500556299824097	57.225794655518705	0.265982269909982	0.2427366543353443	0.2453798004253638	0.2459012753293098
6000	-5232.536983950869	-5305.656517530636	73.11953357976672	-5305.656517530636	0.0353358422242239	24.293820495533463	0.13667453847618447	76.99674806606951	0.2630372861174706	0.24339998899701867	0.2483247842178752	0.24523794066763543
8000	-4550.859419782637	-4644.341593074045	93.4821732914082	-4644.341593074045	0.04535438793746744	24.293820495533463	0.09884562812402273	97.03534463099724	0.2630372861174706	0.23758764608057806	0.2483247842178752	0.25105028358407605
10000	-4180.017779382608	-4308.273466486655	128.25568710404684	-4308.273466486655	0.04051701223150252	24.293820495533463	0.05718938759714929	131.26166747202618	0.2630372861174706	0.24404122026516664	0.24187121003328663	0.25105028358407605
12000	-4114.986525561854	-4243.159759348887	128.17323378703247	-4243.159759348887	0.04826578037725148	24.293820495533463	0.05428140656862283	131.1270275531908	0.2668350957653954	0.24404122026516664	0.23807340038536184	0.25105028358407605
14000	-4114.258604697701	-4244.43754961066	130.17894491295925	-4244.43754961066	0.04205219723436615	15.38028512190074	0.04656341905634638	131.9483218788807	0.2668350957653954	0.24404122026516664	0.23807340038536184	0.25105028358407605
16000	-4097.867301401988	-4233.7396219310795	135.87232052909204	-4233.7396219310795	0.04426644035268713	15.38028512190074	0.04614267939812057	137.63262058305244	0.2668350957653954	0.2476068998341643	0.23106350781172078	0.2544944965887195
18000	-4104.234361389443	-4236.735273285138	132.5009118956946	-4236.735273285138	0.039738351799160715	23.362002355630143	0.06241968463232738	135.50095921144174	0.2668350957653954	0.25107301417357103	0.22759739347231406	0.2544944965887195
20000	-4108.175564812057	-4231.118271919072	122.94270710701458	-4231.118271919072	0.04699723380399978	23.362002355630143	0.07588675654032934	126.13811592182418	0.2751563132401329	0.24919682215514313	0.23636840697166128	0.2392784576330626
22000	-4105.2693292104805	-4241.860968558761	136.59163934828024	-4241.860968558761	0.0440188263961474	23.362002355630143	0.047184279832732975	139.31186676227262	0.2790611865646319	0.24919682215514313	0.23246353364716227	0.2392784576330626
24000	-4096.814989856432	-4231.557554349986	134.74256449355426	-4231.557554349986	0.039234060378538924	23.362002355630143	0.062360137855738115	137.74165737965208	0.2790611865646319	0.24157300295751646	0.23592488375152645	0.24344092672632509
26000	-4089.7132618799174	-4225.513237589785	135.79997570986725	-4225.513237589785	0.04304172110279938	23.362002355630143	0.05860106876779048	138.73689527590915	0.2894462591405269	0.2480258924038822	0.21908692172926572	0.24344092672632509
28000	-4105.291020859085	-4236.847660923768	131.55664006468328	-4236.847660923768	0.03540509287737847	23.362002355630143	0.06542594546048236	134.60372559532033	0.2854784418197023	0.2480258924038822	0.22305473905009032	0.24344092672632509
30000	-4105.429805408965	-4238.117418901121	132.68761349215578	-4238.117418901121	0.038732616910531016	25.903555218986742	0.06559327207900348	135.98610732073766	0.27825229412796015	0.2480258924038822	0.22305473905009032	0.2506670744180672
32000	-4088.9008186793753	-4232.6036006387085	143.70278195933338	-4232.6036006387085	0.04348049484888107	30.826472500889672	0.05181133757250992	147.20013138721924	0.27825229412796015	0.2475532646553948	0.22352736679857774	0.2506670744180672
