#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:M_Clade1-4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:M_Clade1-4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:M_Clade1-4" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:M_Clade1-4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:M_Clade1-4" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.M_Clade1-4" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:M_Clade1-4" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:M_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:M_Clade1-4" name="distribution">
#            <parameter id="kappa.s:M_Clade1-4" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:M_Clade1-4" name="distribution" x="@popSize.t:M_Clade1-4">
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@M_Clade1-4" id="treeLikelihood.M_Clade1-4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:M_Clade1-4">
#            <siteModel id="SiteModel.s:M_Clade1-4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:M_Clade1-4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:M_Clade1-4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:M_Clade1-4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:M_Clade1-4" kappa="@kappa.s:M_Clade1-4" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:M_Clade1-4" id="estimatedFreqs.s:M_Clade1-4" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:M_Clade1-4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:M_Clade1-4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	clockRate
0	-42807.6832299621	-42627.92189331779	-179.76133664430972	-42627.92189331779	2.352063372131957	2.0	0.3	-179.09994941466135	0.25	0.25	0.25	0.25	1.0
4000	-12087.361640204323	-12179.822510969643	92.46087076531992	-12179.822510969643	0.041510191569224926	7.1592782503372705	0.11554786147437124	93.71339279725946	0.25291172756891617	0.24708827243108383	0.25	0.25	1.0
8000	-9952.477681758082	-10080.939388804878	128.46170704679585	-10080.939388804878	0.023925122686794257	9.926234922763758	0.05175271719415414	129.47449025935538	0.26460043335017736	0.2352144580829912	0.25	0.2501851085668314	1.0
12000	-9524.355428276238	-9670.706297197949	146.3508689217104	-9670.706297197949	0.03448377799904173	14.292591039899792	0.0519607426491596	148.0769426776193	0.2816283890048462	0.22262219767535488	0.23782529794193225	0.25792411537786664	1.0
16000	-9463.860816437247	-9615.838379312216	151.9775628749681	-9615.838379312216	0.03218572824018178	13.475897686917087	0.035880633423768266	153.21311476440863	0.28398959823364384	0.21522177166680279	0.23089724183728855	0.26989138826226483	1.0
20000	-9460.98605463935	-9609.269564337805	148.28350969845417	-9609.269564337805	0.02993509834508456	13.475897686917087	0.043057555678255914	149.70140162174965	0.2880408539345091	0.20500648690243636	0.22824987145226938	0.2787027877107851	1.0
24000	-9446.07523932609	-9593.33925672679	147.26401740069844	-9593.33925672679	0.03184555947483444	16.544082037014245	0.03505126328544005	148.90494073051113	0.2922123455159144	0.20409059937655954	0.22659186972358794	0.27710518538393814	1.0
28000	-9467.60618041443	-9621.052462183385	153.4462817689539	-9621.052462183385	0.028478832484587092	19.769129049635765	0.039881628494279134	155.61040224046454	0.29677026409096935	0.20409059937655954	0.22659186972358794	0.2725472668088832	1.0
32000	-9454.008890648161	-9608.298447024345	154.28955637618247	-9608.298447024345	0.030577100433322343	19.814407326529405	0.033510516449719224	156.28481484144126	0.29243241767499445	0.19679985277258621	0.23003647956067266	0.2807312499917467	1.0
36000	-9441.049771736296	-9596.407481256074	155.35770951977707	-9596.407481256074	0.028884514890023798	13.329371187227876	0.03946208866160351	156.6663081478618	0.30993452787408654	0.19429501625805354	0.2070147782304473	0.2887556776374127	1.0
40000	-9438.802743451848	-9586.595054518577	147.79231106672853	-9586.595054518577	0.02932216333982806	16.296605689504105	0.054326094880845444	149.83900785470425	0.30849489559670024	0.19256476063875347	0.2070147782304473	0.29192556553409915	1.0
44000	-9429.497929927958	-9583.965498019626	154.46756809166877	-9583.965498019626	0.030979674703025237	14.632430642999529	0.03999198050222998	155.9804695619408	0.304703131835872	0.1963565243995817	0.2070147782304473	0.29192556553409915	1.0
48000	-9436.168035473807	-9586.194080226063	150.0260447522563	-9586.194080226063	0.03068350543868938	18.969817984206323	0.043636932026770145	152.18701675414667	0.302109587380971	0.1963565243995817	0.2070147782304473	0.29451910998900016	1.0
52000	-9426.677090015002	-9582.513937318407	155.83684730340505	-9582.513937318407	0.031255311667451324	17.188510666804618	0.04208896837468922	157.74359312260316	0.29673252649062726	0.1963565243995817	0.2070147782304473	0.2998961708793439	1.0
56000	-9417.457669443707	-9579.818012283497	162.36034283978856	-9579.818012283497	0.029461802385625634	13.477233043796485	0.03571826447822077	163.59155981938065	0.29673252649062726	0.1963565243995817	0.2162443099194407	0.29066663919035046	1.0
