segment,dataset,scenario,seed,XML file
L,Clade1-3,allObserved,1783698059331,L_Clade1-3_allObserved.xml
L,Clade1-3,linkageInformed,1785584924126,L_Clade1-3_linkageInformed.xml
L,Clade1-3,TwoPerOutbreak,1785687615363,L_Clade1-3_TwoPerOutbreak.xml
L,Clade1-4,allObserved,1783700804656,L_Clade1-4_allObserved.xml
L,Clade1-4,linkageInformed,1785595108012,L_Clade1-4_linkageInformed.xml
L,Clade1-4,TwoPerOutbreak,1785686137237,L_Clade1-4_TwoPerOutbreak.xml
L,Clade1and3,allObserved,1783697602956,L_Clade1and3_allObserved.xml
L,Clade1and3,linkageInformed,1785520264464,L_Clade1and3_linkageInformed.xml
L,Clade1and3,TwoPerOutbreak,1785699820861,L_Clade1and3_TwoPerOutbreak.xml
L,Clade2,allObserved,1783703990177,L_Clade2_allObserved.xml
L,Clade2,TwoPerOutbreak,1785755544019,L_Clade2_TwoPerOutbreak.xml
L,inclUnclassified,allObserved,1780596344066,L_inclUnclassified_allObserved.xml
L,inclUnclassified,linkageInformed,1787414353440,L_inclUnclassified_linkageInformed.xml
L,inclUnclassified,TwoPerOutbreak,1780682285869,L_inclUnclassified_TwoPerOutbreak.xml
M,Clade1-3,allObserved,1783938109825,M_Clade1-3_allObserved.xml
M,Clade1-3,linkageInformed,1785518613835,M_Clade1-3_linkageInformed.xml
M,Clade1-3,TwoPerOutbreak,1785705891542,M_Clade1-3_TwoPerOutbreak.xml
M,Clade1-4,allObserved,1785329827437,M_Clade1-4_allObserved.xml
M,Clade1-4,linkageInformed,1785496826985,M_Clade1-4_linkageInformed.xml
M,Clade1-4,TwoPerOutbreak,1785685390921,M_Clade1-4_TwoPerOutbreak.xml
M,Clade1and3,allObserved,1783943203063,M_Clade1and3_allObserved.xml
M,Clade1and3,linkageInformed,1785518576118,M_Clade1and3_linkageInformed.xml
M,Clade1and3,TwoPerOutbreak,1785704075498,M_Clade1and3_TwoPerOutbreak.xml
M,Clade2,allObserved,1783945744017,M_Clade2_allObserved.xml
M,Clade2,TwoPerOutbreak,1780761312062,M_Clade2_TwoPerOutbreak.xml
M,inclUnclassified,allObserved,1780663983614,M_inclUnclassified_allObserved.xml
M,inclUnclassified,linkageInformed,1787202625541,M_inclUnclassified_linkageInformed.xml
M,inclUnclassified,TwoPerOutbreak,1780681056332,M_inclUnclassified_TwoPerOutbreak.xml
S,Clade1-3,allObserved,1785329546140,S_Clade1-3_allObserved.xml
S,Clade1-3,linkageInformed,1785505887422,S_Clade1-3_linkageInformed.xml
S,Clade1-3,TwoPerOutbreak,1785709528890,S_Clade1-3_TwoPerOutbreak.xml
S,Clade1-4,allObserved,1785331022566,S_Clade1-4_allObserved.xml
S,Clade1-4,linkageInformed,1785507295425,S_Clade1-4_linkageInformed.xml
S,Clade1-4,TwoPerOutbreak,1785601060834,S_Clade1-4_TwoPerOutbreak.xml
S,Clade1and3,allObserved,1785328927207,S_Clade1and3_allObserved.xml
S,Clade1and3,linkageInformed,1785426142695,S_Clade1and3_linkageInformed.xml
S,Clade1and3,TwoPerOutbreak,1785708368581,S_Clade1and3_TwoPerOutbreak.xml
S,Clade2,allObserved,1780752206372,S_Clade2_allObserved.xml
S,Clade2,TwoPerOutbreak,1780754476878,S_Clade2_TwoPerOutbreak.xml
S,inclUnclassified,allObserved,1785414422233,S_inclUnclassified_allObserved.xml
S,inclUnclassified,linkageInformed,1787242117956,S_inclUnclassified_linkageInformed.xml
S,inclUnclassified,TwoPerOutbreak,1780680881093,S_inclUnclassified_TwoPerOutbreak.xml
