id	hyphy_id	status	length_nt	reasons	stop_codons
NC_003466.1	NC_003466_1	kept	1284		
AF291702.1	AF291702_1	kept	1284		
MT956622.1	MT956622_1	kept	1284		
EU241688.1	EU241688_1	kept	1284		
EU241686.1	EU241686_1	kept	1284		
EU241687.1	EU241687_1	kept	1284		
EU241701.1	EU241701_1	kept	1284		
EU241700.1	EU241700_1	kept	1284		
EU241685.1	EU241685_1	kept	1284		
EU241702.1	EU241702_1	kept	1284		
PP_006WBLH.2	PP_006WBLH_2	kept	1284		
PP_006XDHK.5	PP_006XDHK_5	kept	1284		
PP_006XDJH.5	PP_006XDJH_5	kept	1284		
PV796316.1	PV796316_1	kept	1284		
PV808467.1	PV808467_1	kept	1284		
OP555728.1	OP555728_1	kept	1284		
MN258225.1	MN258225_1	kept	1284		
EU241695.1	EU241695_1	kept	1284		
EU241699.1	EU241699_1	kept	1284		
MN258226.1	MN258226_1	kept	1284		
EU241698.1	EU241698_1	kept	1284		
EU241696.1	EU241696_1	kept	1284		
EU241697.1	EU241697_1	kept	1284		
EU241677.1	EU241677_1	kept	1284		
EU241679.1	EU241679_1	kept	1284		
EU241680.1	EU241680_1	kept	1284		
EU241683.1	EU241683_1	kept	1284		
EU241694.1	EU241694_1	kept	1284		
AF004660.1	AF004660_1	kept	1284		
AF324902.1	AF324902_1	kept	1284		
MN258227.1	MN258227_1	kept	1284		
EU241682.1	EU241682_1	kept	1284		
OR405525.1	OR405525_1	kept	1284		
KY659432.1	KY659432_1	kept	1284		
EU241681.1	EU241681_1	kept	1284		
PV808470.1	PV808470_1	kept	1284		
MT956618.1	MT956618_1	kept	1284		
MN258224.1	MN258224_1	kept	1284		
EU241678.1	EU241678_1	kept	1284		
MN258223.1	MN258223_1	kept	1284		
MN258228.1	MN258228_1	kept	1284		
MN258229.1	MN258229_1	kept	1284		
MN258232.1	MN258232_1	kept	1284		
MN258233.1	MN258233_1	kept	1284		
MN258234.1	MN258234_1	kept	1284		
MN258236.1	MN258236_1	kept	1284		
MN258238.1	MN258238_1	kept	1284		
MN258239.1	MN258239_1	kept	1284		
MN258240.1	MN258240_1	kept	1284		
MN258244.1	MN258244_1	kept	1284		
MN258250.1	MN258250_1	kept	1284		
MN258252.1	MN258252_1	kept	1284		
MN258255.1	MN258255_1	kept	1284		
MN258245.1	MN258245_1	kept	1284		
MN258247.1	MN258247_1	kept	1284		
MN258251.1	MN258251_1	kept	1284		
MN258256.1	MN258256_1	kept	1284		
MN258230.1	MN258230_1	kept	1284		
MN258231.1	MN258231_1	kept	1284		
MN258235.1	MN258235_1	kept	1284		
MN258237.1	MN258237_1	kept	1284		
MN258246.1	MN258246_1	kept	1284		
MN258248.1	MN258248_1	kept	1284		
MN258249.1	MN258249_1	kept	1284		
MN258243.1	MN258243_1	kept	1284		
MN258253.1	MN258253_1	kept	1284		
MN258241.1	MN258241_1	kept	1284		
MN258254.1	MN258254_1	kept	1284		
