id	hyphy_id	status	length_nt	reasons	stop_codons
AY101184.1	AY101184_1	kept	3420		
OL840326.1	OL840326_1	kept	3420		
AY101185.1	AY101185_1	kept	3420		
AF028022.1	AF028022_1	kept	3420		
OR987856.1	OR987856_1	kept	3420		
PP151163.1	PP151163_1	kept	3420		
PP151164.1	PP151164_1	kept	3420		
MH846248.1	MH846248_1	kept	3420		
MH846249.1	MH846249_1	kept	3420		
MH846251.1	MH846251_1	kept	3420		
MH846250.1	MH846250_1	kept	3420		
AY515598.1-AY515603.1	AY515598_1_AY515603_1	kept	3420		
EU241642.1-EU241656.1	EU241642_1_EU241656_1	kept	3420		
EU241646.1-EU241660.1	EU241646_1_EU241660_1	kept	3420		
EU241648.1-EU241662.1	EU241648_1_EU241662_1	kept	3420		
EU241645.1-EU241659.1	EU241645_1_EU241659_1	kept	3420		
EU241647.1-EU241661.1	EU241647_1_EU241661_1	kept	3420		
EU241637.1-EU241651.1	EU241637_1_EU241651_1	kept	3420		
EU241638.1-EU241652.1	EU241638_1_EU241652_1	kept	3420		
EU241644.1-EU241658.1	EU241644_1_EU241658_1	kept	3420		
EU241649.1-EU241663.1	EU241649_1_EU241663_1	kept	3420		
EU241643.1-EU241657.1	EU241643_1_EU241657_1	kept	3420		
EU241639.1-EU241653.1	EU241639_1_EU241653_1	kept	3420		
EU241650.1-EU241664.1	EU241650_1_EU241664_1	kept	3420		
EU241641.1-EU241655.1	EU241641_1_EU241655_1	kept	3420		
EU170178.1-EU170195.1	EU170178_1_EU170195_1	kept	3420		
EU170190.1-EU170205.1	EU170190_1_EU170205_1	kept	3420		
EU170181.1-EU170198.1	EU170181_1_EU170198_1	kept	3420		
EU170180.1-EU170197.1	EU170180_1_EU170197_1	kept	3420		
EU170184.1-EU170201.1	EU170184_1_EU170201_1	kept	3420		
EU170187.1-EU170204.1	EU170187_1_EU170204_1	kept	3420		
EU170191.1-EU170206.1	EU170191_1_EU170206_1	kept	3420		
EU170185.1-EU170202.1	EU170185_1_EU170202_1	kept	3420		
EU170186.1-EU170203.1	EU170186_1_EU170203_1	kept	3420		
EU170193.1-EU170194.1	EU170193_1_EU170194_1	kept	3420		
EU170183.1-EU170200.1	EU170183_1_EU170200_1	kept	3420		
EU170179.1-EU170196.1	EU170179_1_EU170196_1	kept	3420		
EU170182.1-EU170199.1	EU170182_1_EU170199_1	kept	3420		
OR890440.1	OR890440_1	kept	3420		
KC567281.1-KC567258.1	KC567281_1_KC567258_1	kept	3420		
KC567279.1-KC567260.1	KC567279_1_KC567260_1	kept	3420		
KC567275.1-KC567264.1	KC567275_1_KC567264_1	kept	3420		
KC567278.1-KC567261.1	KC567278_1_KC567261_1	kept	3420		
KC567280.1-KC567259.1	KC567280_1_KC567259_1	kept	3420		
KC567276.1-KC567263.1	KC567276_1_KC567263_1	kept	3420		
KC567277.1-KC567262.1	KC567277_1_KC567262_1	kept	3420		
KC567274.1-KC567265.1	KC567274_1_KC567265_1	kept	3420		
KC567273.1-KC567266.1	KC567273_1_KC567266_1	kept	3420		
KC567271.1-KC567268.1	KC567271_1_KC567268_1	kept	3420		
KC567270.1-KC567269.1	KC567270_1_KC567269_1	kept	3420		
KC567272.1-KC567267.1	KC567272_1_KC567267_1	kept	3420		
AY204677.1	AY204677_1	kept	3420		
AF389485.1-AF389488.1-AF389479.1	AF389485_1_AF389488_1_AF389479_1	kept	3420		
AF389486.1-AF389489.1-AF389480.1	AF389486_1_AF389489_1_AF389480_1	kept	3420		
AF389484.1-AF389490.1-AF389482.1	AF389484_1_AF389490_1_AF389482_1	kept	3420		
AF389483.1-AF389491.1-AF389502.1	AF389483_1_AF389491_1_AF389502_1	kept	3420		
AF389487.1-AF389492.1-AF389481.1	AF389487_1_AF389492_1_AF389481_1	kept	3420		
AY204678.1	AY204678_1	kept	3420		
AY204679.1	AY204679_1	kept	3420		
AY204680.1	AY204680_1	kept	3420		
AF028023.1	AF028023_1	kept	3420		
OR965908.1	OR965908_1	kept	3420		
OP555731.1	OP555731_1	kept	3420		
DQ189092.1	DQ189092_1	kept	3420		
OR965909.1	OR965909_1	kept	3420		
OR965911.1	OR965911_1	kept	3420		
DQ189093.1	DQ189093_1	kept	3420		
DQ189094.1	DQ189094_1	kept	3420		
OR965910.1	OR965910_1	kept	3420		
OR987850.1	OR987850_1	kept	3420		
OR987851.1	OR987851_1	kept	3420		
OR987852.1	OR987852_1	kept	3420		
PP003839.1	PP003839_1	kept	3420		
OR987853.1	OR987853_1	kept	3420		
PP003838.1	PP003838_1	kept	3420		
OR987854.1	OR987854_1	kept	3420		
OR987855.1	OR987855_1	kept	3420		
AF389503.1	AF389503_1	kept	3420		
AF389504.1	AF389504_1	kept	3420		
AF028024.1	AF028024_1	kept	3420		
AF389494.1	AF389494_1	kept	3420		
AF389495.1	AF389495_1	kept	3420		
AF389498.1	AF389498_1	kept	3420		
AF389499.1	AF389499_1	kept	3420		
AF389501.1	AF389501_1	kept	3420		
AF389505.1	AF389505_1	kept	3420		
AF389493.1	AF389493_1	kept	3420		
AH011225.2	AH011225_2	kept	3420		
AF389500.1	AF389500_1	kept	3420		
AF389496.1	AF389496_1	kept	3420		
AF389497.1	AF389497_1	kept	3420		
AF389506.1	AF389506_1	kept	3420		
AF389508.1	AF389508_1	kept	3420		
AF389507.1	AF389507_1	kept	3420		
AF389509.1	AF389509_1	kept	3420		
AF389510.1	AF389510_1	kept	3420		
AF389511.1	AF389511_1	kept	3420		
AF389512.1	AF389512_1	kept	3420		
DQ189095.1	DQ189095_1	kept	3420		
EU241640.1	EU241640_1	kept	3420		
NC_003467.2	NC_003467_2	kept	3420		
AF291703.2	AF291703_2	kept	3420		
MT956623.1	MT956623_1	kept	3420		
MN850091.1	MN850091_1	kept	3420		
