id	hyphy_id	status	length_nt	reasons	stop_codons
NC_003468.2	NC_003468_2	kept	6459		
AF291704.5	AF291704_5	kept	6459		
MT956621.1	MT956621_1	kept	6459		
PP_006WBLH.2	PP_006WBLH_2	kept	6459		
PP_006XDHK.5	PP_006XDHK_5	kept	6459		
PP_006XDJH.5	PP_006XDJH_5	kept	6459		
MN258158.1	MN258158_1	kept	6459		
MN258159.1	MN258159_1	kept	6459		
PV796318.1	PV796318_1	kept	6459		
PV808469.1	PV808469_1	kept	6459		
PV808472.1	PV808472_1	kept	6459		
MT956620.1	MT956620_1	kept	6459		
MN258160.1	MN258160_1	kept	6459		
AF324900.1	AF324900_1	kept	6459		
OR405523.1	OR405523_1	kept	6459		
KY659431.1	KY659431_1	kept	6459		
MN258157.1	MN258157_1	kept	6459		
MN258156.1	MN258156_1	kept	6459		
MN258161.1	MN258161_1	kept	6459		
MN258162.1	MN258162_1	kept	6459		
MN258164.1	MN258164_1	kept	6459		
MN258165.1	MN258165_1	kept	6459		
MN258166.1	MN258166_1	kept	6459		
MN258167.1	MN258167_1	kept	6459		
MN258168.1	MN258168_1	kept	6459		
MN258171.1	MN258171_1	kept	6459		
MN258172.1	MN258172_1	kept	6459		
MN258175.1	MN258175_1	kept	6459		
MN258176.1	MN258176_1	kept	6459		
MN258177.1	MN258177_1	kept	6459		
MN258178.1	MN258178_1	kept	6459		
MN258179.1	MN258179_1	kept	6459		
MN258180.1	MN258180_1	kept	6459		
MN258181.1	MN258181_1	kept	6459		
MN258182.1	MN258182_1	kept	6459		
MN258187.1	MN258187_1	kept	6459		
MN258163.1	MN258163_1	kept	6459		
MN258169.1	MN258169_1	kept	6459		
MN258173.1	MN258173_1	kept	6459		
MN258188.1	MN258188_1	kept	6459		
MN258170.1	MN258170_1	kept	6459		
MN258184.1	MN258184_1	kept	6459		
MN258186.1	MN258186_1	kept	6459		
MN258183.1	MN258183_1	kept	6459		
MN258174.1	MN258174_1	kept	6459		
MN258185.1	MN258185_1	kept	6459		
MN850097.1	MN850097_1	kept	6459		
MN850093.1	MN850093_1	kept	6459		
MN850094.1	MN850094_1	kept	6459		
MN850095.1	MN850095_1	kept	6459		
MN850096.1	MN850096_1	kept	6459		
PP504849.1	PP504849_1	kept	6459		
PP151166.1	PP151166_1	kept	6459		
PP151167.1	PP151167_1	kept	6459		
PP151168.1	PP151168_1	kept	6459		
PP151170.1	PP151170_1	kept	6459		
PP151169.1	PP151169_1	kept	6459		
PP151165.1	PP151165_1	kept	6459		
OP555736.1	OP555736_1	kept	6459		
PP151171.1	PP151171_1	kept	6459		
OQ092243.1	OQ092243_1	kept	6459		
PP003836.1	PP003836_1	kept	6459		
PP003837.1	PP003837_1	kept	6459		
PP151172.1	PP151172_1	kept	6459		
PP058737.1	PP058737_1	kept	6459		
PP058739.1	PP058739_1	kept	6459		
PP058738.1	PP058738_1	kept	6459		
NC_077671.1	NC_077671_1	kept	6459		
AH011553.2	AH011553_2	kept	6459		
