isolate	L	S	M	country	host	reference	organism	collection_date	clades
1233	-	-	KC567277.1-KC567262.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2012-01-16	clade1
1234	-	-	KC567276.1-KC567263.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2012-02-15	clade1
1235	-	-	KC567275.1-KC567264.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2012-02-15	clade4
136	PV796318.1	PV796316.1	PV796317.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/41070183	Orthohantavirus andesense	2024-06-27	clade3
137	PV808469.1	PV808467.1	PV808468.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/41070183	Orthohantavirus andesense	2024-06-27	clade3
177	-	-	KC567280.1-KC567259.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2011-05-16	clade1
187	-	-	KC567279.1-KC567260.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2010-02-14	clade3
403	-	-	KC567278.1-KC567261.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2010-02-14	clade3
480	-	-	KC567281.1-KC567258.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2010-03-16	clade3
A	-	-	KC567270.1-KC567269.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2011-04-15	clade1
Al16	-	EU241684.1	-	Chile	Abrothrix longipilis	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	2003-07-02	clade1
Al218	-	EU241687.1	-	Chile	Abrothrix longipilis	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	2003-07-02	clade4
Andes/ARG-O.l.444	-	OP555728.1	OP555724.1	Argentina	Oligoryzomys longicaudatus	10.1128/MSPHERE.00018-23	Orthohantavirus andesense	1999-07-02	clade3
ANDV_LS-CH-2016	KY659431.1	KY659432.1	KY604962.1	Switzerland	Homo sapiens	10.3390/V15112266/S1	Orthohantavirus andesense	2016-12-23	clade1
ANDV-CH-LS-2016	OR405523.1	OR405525.1	OR405524.1	Switzerland	Homo sapiens	10.3390/V15112266/S1	Orthohantavirus andesense	2016-07-01	clade1
ARCH14/NRC1	MN850096.1	MN850086.1	MN850091.1	Argentina	Homo sapiens	10.3201/EID2604.190799	Orthohantavirus andesense	2014-07-02	clade4
AREB14_p1	MN850093.1	MN850083.1	MN850088.1	Argentina	Homo sapiens	10.3201/EID2604.190799	Orthohantavirus andesense	2014-07-02	clade2
AREB14_p2	MN850094.1	MN850084.1	MN850089.1	Argentina	Homo sapiens	10.3201/EID2604.190799	Orthohantavirus andesense	2014-07-02	clade2
AREB14_p3	MN850095.1	MN850085.1	MN850090.1	Argentina	Homo sapiens	10.3201/EID2604.190799	Orthohantavirus andesense	2014-07-02	clade2
B	-	-	KC567273.1-KC567266.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2011-04-15	clade1
C	-	-	KC567274.1-KC567265.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2011-04-15	clade1
CHI-7913_MT	MT956620.1	MT956618.1	MT956619.1	Chile	Homo sapiens	10.1128/MSPHERE.00018-23	Orthohantavirus andesense	1999-07-02	clade1
CHI-7913_PV	PV808472.1	PV808470.1	PV808471.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/41070183	Orthohantavirus andesense	1999-07-02	clade1
CHI-9717869_AF	AF291704.5	AF291702.1	AF291703.2	Chile	Oligoryzomys longicaudatus	10.1128/jvi.01057-08	Orthohantavirus andesense	1997-07-02	clade4
CHI-9717869_MT	MT956621.1	MT956622.1	MT956623.1	Chile	Oligoryzomys longicaudatus	10.1128/MSPHERE.00018-23	Orthohantavirus andesense	1997-07-02	clade4
Chile-9717869	NC_003468.2	NC_003466.1	NC_003467.2	Chile	Oligoryzomys_longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/12367756	Orthohantavirus andesense	1997-09-27	clade4
D	-	-	KC567271.1-KC567268.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2011-04-15	clade1
E	-	-	KC567272.1-KC567267.1	Chile	Homo sapiens	https://www.ncbi.nlm.nih.gov/pubmed/25272189	Orthohantavirus andesense	2011-04-15	clade1
Epilink/96_2/6/19	MN258156.1	MN258223.1	MN258189.1	Argentina	Homo sapiens	10.1128/MSPHERE.00018-23	Orthohantavirus andesense	1996-12-11	clade2
Epuyen/18-19_Patient_1_11/3/18	MN258172.1	MN258239.1	MN258205.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	2018-11-10	clade2
